Date,el_spot_price,ef_om,gas_price,co2_price,heat
2019-01-01 00:00:00,28.32,265.245,24.134,22.95,156.96
2019-01-01 01:00:00,10.07,237.937,24.134,22.95,154.9
2019-01-01 02:00:00,-4.08,231.263,24.134,22.95,143.27
2019-01-01 03:00:00,-9.91,228.315,24.134,22.95,155.22
2019-01-01 04:00:00,-7.41,220.123,24.134,22.95,176.6
2019-01-01 05:00:00,-12.55,214.534,24.134,22.95,202.67
2019-01-01 06:00:00,-17.25,207.905,24.134,22.95,205.65
2019-01-01 07:00:00,-15.07,204.58,24.134,22.95,204.26
2019-01-01 08:00:00,-4.93,200.727,24.134,22.95,202.25
2019-01-01 09:00:00,-6.33,204.551,24.134,22.95,201.91
2019-01-01 10:00:00,-4.93,200.573,24.134,22.95,201.85
2019-01-01 11:00:00,0.45,193.038,24.134,22.95,201.48
2019-01-01 12:00:00,0.12,191.655,24.134,22.95,208.39
2019-01-01 13:00:00,-0.02,190.515,24.134,22.95,210.86
2019-01-01 14:00:00,0.0,191.263,24.134,22.95,234.89
2019-01-01 15:00:00,-0.03,192.118,24.134,22.95,246.54
2019-01-01 16:00:00,1.97,184.939,24.134,22.95,237.96
2019-01-01 17:00:00,9.06,183.666,24.134,22.95,219.61
2019-01-01 18:00:00,0.07,183.604,24.134,22.95,210.98
2019-01-01 19:00:00,-4.97,188.676,24.134,22.95,210.1
2019-01-01 20:00:00,-6.98,191.569,24.134,22.95,205.69
2019-01-01 21:00:00,-24.93,194.902,24.134,22.95,184.68
2019-01-01 22:00:00,-4.87,196.58,24.134,22.95,181.2
2019-01-01 23:00:00,-28.93,196.992,24.134,22.95,192.06
2019-01-02 00:00:00,-33.57,205.635,24.134,22.95,195.33
2019-01-02 01:00:00,-45.92,198.926,24.134,22.95,203.88
2019-01-02 02:00:00,-48.29,203.286,24.134,22.95,203.45
2019-01-02 03:00:00,-44.99,207.307,24.134,22.95,205.04
2019-01-02 04:00:00,-48.93,207.512,24.134,22.95,213.05
2019-01-02 05:00:00,-29.91,214.464,24.134,22.95,219.87
2019-01-02 06:00:00,-0.01,220.329,24.134,22.95,234.99
2019-01-02 07:00:00,37.43,236.667,24.134,22.95,256.44
2019-01-02 08:00:00,48.06,255.685,24.134,22.95,263.88
2019-01-02 09:00:00,50.74,274.291,24.134,22.95,253.68
2019-01-02 10:00:00,47.57,272.161,24.134,22.95,230.03
2019-01-02 11:00:00,43.94,264.892,24.134,22.95,229.25
2019-01-02 12:00:00,40.97,264.612,24.134,22.95,229.82
2019-01-02 13:00:00,44.95,266.462,24.134,22.95,250.39
2019-01-02 14:00:00,49.64,293.349,24.134,22.95,237.23
2019-01-02 15:00:00,53.67,331.613,24.134,22.95,253.36
2019-01-02 16:00:00,56.01,362.605,24.134,22.95,262.13
2019-01-02 17:00:00,56.95,377.098,24.134,22.95,258.44
2019-01-02 18:00:00,62.08,390.52,24.134,22.95,257.52
2019-01-02 19:00:00,62.11,406.48,24.134,22.95,262.07
2019-01-02 20:00:00,57.99,424.91,24.134,22.95,245.97
2019-01-02 21:00:00,55.64,431.113,24.134,22.95,233.6
2019-01-02 22:00:00,55.13,435.365,24.134,22.95,223.1
2019-01-02 23:00:00,50.76,434.716,24.134,22.95,220.31
2019-01-03 00:00:00,42.91,430.687,24.134,22.95,227.53
2019-01-03 01:00:00,45.22,437.187,24.134,22.95,239.76
2019-01-03 02:00:00,45.63,443.789,24.134,22.95,235.34
2019-01-03 03:00:00,44.0,439.937,24.134,22.95,244.06
2019-01-03 04:00:00,43.88,431.913,24.134,22.95,279.62
2019-01-03 05:00:00,45.92,434.595,24.134,22.95,296.38
2019-01-03 06:00:00,51.07,445.786,24.134,22.95,289.94
2019-01-03 07:00:00,52.77,444.969,24.134,22.95,271.32
2019-01-03 08:00:00,62.89,455.043,24.134,22.95,272.66
2019-01-03 09:00:00,60.03,458.132,24.134,22.95,271.47
2019-01-03 10:00:00,58.19,461.61,24.134,22.95,264.86
2019-01-03 11:00:00,62.99,464.511,24.134,22.95,251.1
2019-01-03 12:00:00,63.52,478.301,24.134,22.95,243.35
2019-01-03 13:00:00,64.67,491.799,24.134,22.95,245.38
2019-01-03 14:00:00,65.24,501.33,24.134,22.95,259.8
2019-01-03 15:00:00,67.76,509.637,24.134,22.95,281.15
2019-01-03 16:00:00,68.41,510.024,24.134,22.95,302.07
2019-01-03 17:00:00,69.55,500.296,24.134,22.95,296.72
2019-01-03 18:00:00,67.28,494.367,24.134,22.95,272.67
2019-01-03 19:00:00,69.46,502.306,24.134,22.95,278.35
2019-01-03 20:00:00,68.38,511.798,24.134,22.95,230.56
2019-01-03 21:00:00,61.72,518.662,24.134,22.95,210.03
2019-01-03 22:00:00,53.72,526.09,24.134,22.95,199.26
2019-01-03 23:00:00,49.98,525.266,24.134,22.95,195.02
2019-01-04 00:00:00,50.73,522.46,24.134,22.95,186.84
2019-01-04 01:00:00,47.11,510.415,24.134,22.95,189.97
2019-01-04 02:00:00,47.07,497.394,24.134,22.95,196.84
2019-01-04 03:00:00,46.94,481.694,24.134,22.95,224.83
2019-01-04 04:00:00,47.0,464.932,24.134,22.95,221.93
2019-01-04 05:00:00,46.91,451.658,24.134,22.95,246.69
2019-01-04 06:00:00,49.59,437.622,24.134,22.95,248.33
2019-01-04 07:00:00,55.32,428.18,24.134,22.95,247.07
2019-01-04 08:00:00,55.78,427.866,24.134,22.95,268.45
2019-01-04 09:00:00,55.52,418.816,24.134,22.95,267.44
2019-01-04 10:00:00,55.23,408.103,24.134,22.95,230.54
2019-01-04 11:00:00,53.58,399.756,24.134,22.95,218.81
2019-01-04 12:00:00,51.74,392.378,24.134,22.95,215.12
2019-01-04 13:00:00,51.6,385.173,24.134,22.95,222.36
2019-01-04 14:00:00,51.41,390.821,24.134,22.95,224.6
2019-01-04 15:00:00,51.69,396.059,24.134,22.95,226.39
2019-01-04 16:00:00,52.59,395.274,24.134,22.95,227.97
2019-01-04 17:00:00,54.66,397.135,24.134,22.95,222.28
2019-01-04 18:00:00,54.1,395.471,24.134,22.95,218.23
2019-01-04 19:00:00,51.89,388.196,24.134,22.95,208.13
2019-01-04 20:00:00,46.58,383.091,24.134,22.95,203.17
2019-01-04 21:00:00,45.43,369.771,24.134,22.95,185.5
2019-01-04 22:00:00,43.96,360.956,24.134,22.95,177.47
2019-01-04 23:00:00,31.41,331.763,24.134,22.95,167.79
2019-01-05 00:00:00,26.9,304.617,24.134,22.95,163.65
2019-01-05 01:00:00,25.12,289.805,24.134,22.95,167.24
2019-01-05 02:00:00,24.12,282.45,24.134,22.95,168.4
2019-01-05 03:00:00,22.04,271.147,24.134,22.95,171.03
2019-01-05 04:00:00,18.37,267.103,24.134,22.95,188.86
2019-01-05 05:00:00,22.09,273.556,24.134,22.95,210.78
2019-01-05 06:00:00,23.35,280.141,24.134,22.95,213.13
2019-01-05 07:00:00,28.76,308.243,24.134,22.95,213.33
2019-01-05 08:00:00,36.63,330.367,24.134,22.95,210.84
2019-01-05 09:00:00,40.46,353.134,24.134,22.95,207.7
2019-01-05 10:00:00,45.85,370.955,24.134,22.95,205.33
2019-01-05 11:00:00,49.8,378.176,24.134,22.95,205.31
2019-01-05 12:00:00,51.36,388.186,24.134,22.95,204.76
2019-01-05 13:00:00,51.74,397.891,24.134,22.95,205.16
2019-01-05 14:00:00,51.92,406.213,24.134,22.95,205.7
2019-01-05 15:00:00,53.22,413.332,24.134,22.95,206.59
2019-01-05 16:00:00,56.62,416.389,24.134,22.95,206.06
2019-01-05 17:00:00,56.92,420.913,24.134,22.95,206.81
2019-01-05 18:00:00,61.64,422.612,24.134,22.95,215.87
2019-01-05 19:00:00,59.44,425.254,24.134,22.95,214.25
2019-01-05 20:00:00,52.75,427.959,24.134,22.95,211.88
2019-01-05 21:00:00,51.9,424.72,24.134,22.95,196.15
2019-01-05 22:00:00,51.38,427.341,24.134,22.95,179.63
2019-01-05 23:00:00,49.96,425.192,24.134,22.95,178.87
2019-01-06 00:00:00,50.29,421.803,24.134,22.95,187.94
2019-01-06 01:00:00,47.72,433.086,24.134,22.95,203.97
2019-01-06 02:00:00,48.38,446.711,24.134,22.95,201.34
2019-01-06 03:00:00,48.02,448.803,24.134,22.95,199.17
2019-01-06 04:00:00,44.23,450.777,24.134,22.95,198.8
2019-01-06 05:00:00,47.17,458.426,24.134,22.95,199.03
2019-01-06 06:00:00,48.19,471.244,24.134,22.95,189.62
2019-01-06 07:00:00,49.11,492.806,24.134,22.95,195.62
2019-01-06 08:00:00,50.44,499.413,24.134,22.95,213.12
2019-01-06 09:00:00,53.4,505.769,24.134,22.95,220.22
2019-01-06 10:00:00,56.55,506.051,24.134,22.95,219.77
2019-01-06 11:00:00,60.02,509.326,24.134,22.95,217.95
2019-01-06 12:00:00,60.22,509.316,24.134,22.95,214.46
2019-01-06 13:00:00,55.0,510.169,24.134,22.95,214.66
2019-01-06 14:00:00,52.39,514.304,24.134,22.95,213.51
2019-01-06 15:00:00,51.57,521.886,24.134,22.95,213.93
2019-01-06 16:00:00,54.71,518.404,24.134,22.95,211.67
2019-01-06 17:00:00,63.43,502.763,24.134,22.95,211.86
2019-01-06 18:00:00,67.37,500.52,24.134,22.95,211.22
2019-01-06 19:00:00,67.2,502.776,24.134,22.95,210.42
2019-01-06 20:00:00,66.03,514.225,24.134,22.95,210.43
2019-01-06 21:00:00,55.36,515.668,24.134,22.95,189.36
2019-01-06 22:00:00,58.59,515.928,24.134,22.95,178.8
2019-01-06 23:00:00,53.7,512.937,24.134,22.95,166.4
2019-01-07 00:00:00,46.03,509.359,24.134,22.95,154.17
2019-01-07 01:00:00,47.98,504.844,24.134,22.95,150.31
2019-01-07 02:00:00,47.84,500.31,24.134,22.95,158.6
2019-01-07 03:00:00,46.11,496.817,24.134,22.95,193.47
2019-01-07 04:00:00,46.08,499.1,24.134,22.95,214.14
2019-01-07 05:00:00,47.62,503.861,24.134,22.95,217.77
2019-01-07 06:00:00,55.77,505.511,24.134,22.95,218.38
2019-01-07 07:00:00,68.61,505.866,24.134,22.95,209.04
2019-01-07 08:00:00,74.15,513.072,24.134,22.95,217.13
2019-01-07 09:00:00,74.93,513.746,24.134,22.95,216.15
2019-01-07 10:00:00,73.59,505.736,24.134,22.95,215.99
2019-01-07 11:00:00,71.23,494.018,24.134,22.95,216.12
2019-01-07 12:00:00,68.79,480.606,24.134,22.95,212.21
2019-01-07 13:00:00,66.75,469.427,24.134,22.95,210.32
2019-01-07 14:00:00,62.47,464.025,24.134,22.95,209.41
2019-01-07 15:00:00,53.25,459.224,24.134,22.95,215.54
